id,ten_truong,ten_nganh,ma_nganh,khoi_thi,diem_chuan_2023,diem_chuan_2024,diem_chuan_2025,vung,nhom_nganh,bac_dao_tao,loai_hinh,website,nguon_verified,verified
134,Đại học Kinh tế TP.HCM,Quản trị kinh doanh,7340101,"A00,A01,D01",26.5,26.8,27,Nam,Kinh tế - Quản trị kinh doanh - Thương Mại,Đại học,Công lập,https://ueh.edu.vn,,Yes
135,Đại học Kinh tế TP.HCM,Marketing,7340115,"A01,D01",26.3,26.6,26.8,Nam,Kinh tế - Quản trị kinh doanh - Thương Mại,Đại học,Công lập,https://ueh.edu.vn,,Yes
136,Đại học Kinh tế TP.HCM,Kinh doanh quốc tế,7340120,"A01,D01",26,26.3,26.5,Nam,Kinh tế - Quản trị kinh doanh - Thương Mại,Đại học,Công lập,https://ueh.edu.vn,,Yes
137,Đại học Đà Nẵng,Quản trị kinh doanh,7340101,"A00,A01,D01",23,23.3,23.5,Miền Trung,Kinh tế - Quản trị kinh doanh - Thương Mại,Đại học,Công lập,https://udn.vn,,Yes
138,Đại học Huế,Quản trị kinh doanh,7340101,"A00,A01,D01",22.5,22.8,23,Miền Trung,Kinh tế - Quản trị kinh doanh - Thương Mại,Đại học,Công lập,https://hueuni.edu.vn,,Yes
139,Đại học Quy Nhơn,Quản trị kinh doanh,7340101,"A00,A01,D01",19.5,19.8,20,Miền Trung,Kinh tế - Quản trị kinh doanh - Thương Mại,Đại học,Công lập,https://qnu.edu.vn,,Yes
140,Đại học Vinh,Quản trị kinh doanh,7340101,"A00,A01,D01",20.5,20.8,21,Bắc,Kinh tế - Quản trị kinh doanh - Thương Mại,Đại học,Công lập,https://vinhuni.edu.vn,,Yes
141,Đại học Cần Thơ,Quản trị kinh doanh,7340101,"A00,A01,D01",21.5,21.8,22,Nam,Kinh tế - Quản trị kinh doanh - Thương Mại,Đại học,Công lập,https://ctu.edu.vn,,Yes
142,Đại học An Giang,Quản trị kinh doanh,7340101,"A00,A01,D01",20,20.3,20.5,Nam,Kinh tế - Quản trị kinh doanh - Thương Mại,Đại học,Công lập,https://agu.edu.vn,,Yes
143,Đại học Tôn Đức Thắng,Quản trị kinh doanh,7340101,"A00,A01,D01",21,21.3,21.5,Nam,Kinh tế - Quản trị kinh doanh - Thương Mại,Đại học,Công lập,https://tdtu.edu.vn,,Yes
144,Đại học Công nghiệp Hà Nội,Quản trị kinh doanh,7340101,"A00,A01,D01",23,23.3,23.5,Bắc,Kinh tế - Quản trị kinh doanh - Thương Mại,Đại học,Công lập,https://haui.edu.vn,,Yes
145,Đại học Công nghiệp TP.HCM,Quản trị kinh doanh,7340101,"A00,A01,D01",22,22.3,22.5,Nam,Kinh tế - Quản trị kinh doanh - Thương Mại,Đại học,Công lập,https://iuh.edu.vn,,Yes
146,Đại học Giao thông Vận tải Hà Nội,Logistics và Quản lý chuỗi cung ứng,7510605,"A00,A01,D01",24,24.3,24.5,Bắc,Kinh tế - Quản trị kinh doanh - Thương Mại,Đại học,Công lập,https://utc.edu.vn,,Yes
147,Đại học Giao thông Vận tải TP.HCM,Logistics và Quản lý chuỗi cung ứng,7510605,"A00,A01,D01",23.5,23.8,24,Nam,Kinh tế - Quản trị kinh doanh - Thương Mại,Đại học,Công lập,https://ut.edu.vn,,Yes
148,Đại học Ngoại thương,Kinh tế quốc tế,7310106,"A00,A01,D01",28,28.3,28.5,Bắc,Ngoại thương - Xuất nhập khẩu - Kinh tế quốc tế,Đại học,Công lập,https://ftu.edu.vn,,Yes
149,Đại học Ngoại thương,Ngôn ngữ Anh thương mại,7220201,"D01,A01",27.5,27.8,28,Bắc,Ngoại giao - Ngoại ngữ,Đại học,Công lập,https://ftu.edu.vn,,Yes
150,Đại học Ngoại thương,Ngôn ngữ Trung Quốc thương mại,7220204,"D01,D04",27.8,28.1,28.3,Bắc,Ngoại giao - Ngoại ngữ,Đại học,Công lập,https://ftu.edu.vn,,Yes
151,Đại học Kinh tế - Tài chính TP.HCM,Kinh tế quốc tế,7310106,"A00,A01,D01",24.5,24.8,25,Nam,Ngoại thương - Xuất nhập khẩu - Kinh tế quốc tế,Đại học,Tư thục,https://uef.edu.vn,,Yes
152,Đại học Ngoại ngữ - ĐHQG Hà Nội,Ngôn ngữ Anh,7220201,D01,27,27.3,27.5,Bắc,Ngoại giao - Ngoại ngữ,Đại học,Công lập,https://ulis.vnu.edu.vn,,Yes
153,Đại học Ngoại ngữ - ĐHQG Hà Nội,Ngôn ngữ Nhật,7220209,"D01,D06",26.5,26.8,27,Bắc,Ngoại giao - Ngoại ngữ,Đại học,Công lập,https://ulis.vnu.edu.vn,,Yes
154,Đại học Ngoại ngữ - ĐHQG Hà Nội,Ngôn ngữ Hàn Quốc,7220210,D01,26,26.3,26.5,Bắc,Ngoại giao - Ngoại ngữ,Đại học,Công lập,https://ulis.vnu.edu.vn,,Yes
155,Đại học Hà Nội,Ngôn ngữ Anh,7220201,D01,26.5,26.8,27,Bắc,Ngoại giao - Ngoại ngữ,Đại học,Công lập,https://hanu.edu.vn,,Yes
156,Đại học Hà Nội,Ngôn ngữ Trung Quốc,7220204,"D01,D04",26,26.3,26.5,Bắc,Ngoại giao - Ngoại ngữ,Đại học,Công lập,https://hanu.edu.vn,,Yes
157,Đại học Hà Nội,Ngôn ngữ Nhật,7220209,D01,25.8,26.1,26.3,Bắc,Ngoại giao - Ngoại ngữ,Đại học,Công lập,https://hanu.edu.vn,,Yes
158,Đại học Ngoại ngữ - ĐH Đà Nẵng,Ngôn ngữ Anh,7220201,D01,23.5,23.8,24,Miền Trung,Ngoại giao - Ngoại ngữ,Đại học,Công lập,https://ufl.udn.vn,,Yes
159,Đại học Huế - Ngoại ngữ,Ngôn ngữ Anh,7220201,D01,22.5,22.8,23,Miền Trung,Ngoại giao - Ngoại ngữ,Đại học,Công lập,https://hueuni.edu.vn,,Yes
160,Đại học Huế - Ngoại ngữ,Ngôn ngữ Trung,7220204,D04,22,22.3,22.5,Miền Trung,Ngoại giao - Ngoại ngữ,Đại học,Công lập,https://hueuni.edu.vn,,Yes
161,Đại học Quy Nhơn,Ngôn ngữ Anh,7220201,D01,20.5,20.8,21,Miền Trung,Ngoại giao - Ngoại ngữ,Đại học,Công lập,https://qnu.edu.vn,,Yes
162,Đại học Vinh,Ngôn ngữ Anh,7220201,D01,21.5,21.8,22,Bắc,Ngoại giao - Ngoại ngữ,Đại học,Công lập,https://vinhuni.edu.vn,,Yes
163,Đại học Cần Thơ,Ngôn ngữ Anh,7220201,D01,22,22.3,22.5,Nam,Ngoại giao - Ngoại ngữ,Đại học,Công lập,https://ctu.edu.vn,,Yes
164,Đại học Sài Gòn,Ngôn ngữ Anh,7220201,D01,23,23.3,23.5,Nam,Ngoại giao - Ngoại ngữ,Đại học,Công lập,https://sgu.edu.vn,,Yes
165,Đại học Mở TP.HCM,Ngôn ngữ Anh,7220201,D01,22.5,22.8,23,Nam,Ngoại giao - Ngoại ngữ,Đại học,Công lập,https://ou.edu.vn,,Yes
166,Đại học FPT Hà Nội,Ngôn ngữ Anh,7220201,D01,21,21.3,21.5,Bắc,Ngoại giao - Ngoại ngữ,Đại học,Tư thục,https://fpt.edu.vn,,Yes
167,Đại học FPT Hà Nội,Ngôn ngữ Nhật,7220209,D01,20.5,20.8,21,Bắc,Ngoại giao - Ngoại ngữ,Đại học,Tư thục,https://fpt.edu.vn,,Yes
168,Đại học FPT TP.HCM,Ngôn ngữ Hàn,7220210,D01,20,20.3,20.5,Nam,Ngoại giao - Ngoại ngữ,Đại học,Tư thục,https://fpt.edu.vn,,Yes
169,Đại học Hoa Sen,Ngôn ngữ Anh,7220201,D01,20,20.3,20.5,Nam,Ngoại giao - Ngoại ngữ,Đại học,Tư thục,https://hoasen.edu.vn,,Yes
170,Đại học Văn Lang,Ngôn ngữ Anh,7220201,D01,20.5,20.8,21,Nam,Ngoại giao - Ngoại ngữ,Đại học,Tư thục,https://vanlanguni.edu.vn,,Yes
171,Đại học HUFLIT,Ngôn ngữ Anh,7220201,D01,20,20.3,20.5,Nam,Ngoại giao - Ngoại ngữ,Đại học,Tư thục,https://huflit.edu.vn,,Yes
172,Đại học Y Hà Nội,Y đa khoa,7720101,"B00,A00",28.5,28.8,29,Bắc,Y - dược,Đại học,Công lập,https://hmu.edu.vn,,Yes
173,Đại học Y Hà Nội,Răng - Hàm - Mặt,7720201,"B00,A00",27.5,27.8,28,Bắc,Y - dược,Đại học,Công lập,https://hmu.edu.vn,,Yes
174,Đại học Y Hà Nội,Dược học,7720201,"A00,B00",27,27.3,27.5,Bắc,Y - dược,Đại học,Công lập,https://hmu.edu.vn,,Yes
175,Đại học Y Dược TP.HCM,Y đa khoa,7720101,"B00,A00",28.3,28.6,28.8,Nam,Y - dược,Đại học,Công lập,https://yds.edu.vn,,Yes
176,Đại học Y Dược TP.HCM,Dược học,7720201,"A00,B00",26.8,27.1,27.3,Nam,Y - dược,Đại học,Công lập,https://yds.edu.vn,,Yes
177,Đại học Y Dược TP.HCM,Y học cổ truyền,7720115,B00,26,26.3,26.5,Nam,Y - dược,Đại học,Công lập,https://yds.edu.vn,,Yes
178,Đại học Y Dược Huế,Y đa khoa,7720101,"B00,A00",26,26.3,26.5,Miền Trung,Y - dược,Đại học,Công lập,https://hueuni.edu.vn,,Yes
179,Đại học Y Dược Huế,Dược học,7720201,"A00,B00",25,25.3,25.5,Miền Trung,Y - dược,Đại học,Công lập,https://hueuni.edu.vn,,Yes
180,Đại học Y Dược Cần Thơ,Y đa khoa,7720101,"B00,A00",25.5,25.8,26,Nam,Y - dược,Đại học,Công lập,https://ctump.edu.vn,,Yes
181,Đại học Y Dược Cần Thơ,Dược học,7720201,"A00,B00",24.5,24.8,25,Nam,Y - dược,Đại học,Công lập,https://ctump.edu.vn,,Yes
182,Đại học Y Dược Hải Phòng,Y đa khoa,7720101,"B00,A00",25,25.3,25.5,Bắc,Y - dược,Đại học,Công lập,https://hpmu.edu.vn,,Yes
183,Đại học Kỹ thuật Y tế Hải Dương,Kỹ thuật xét nghiệm y học,7720601,"B00,A00",23.5,23.8,24,Bắc,Y - dược,Đại học,Công lập,https://hdmu.edu.vn,,Yes
184,Đại học Y khoa Phạm Ngọc Thạch,Y đa khoa,7720101,"B00,A00",27.5,27.8,28,Nam,Y - dược,Đại học,Công lập,https://pnt.edu.vn,,Yes
185,Đại học Y khoa Vinh,Y đa khoa,7720101,"B00,A00",24.5,24.8,25,Bắc,Y - dược,Đại học,Công lập,https://vinhuni.edu.vn,,Yes
186,Đại học Văn Lang,Y khoa,7720101,"B00,A00",24,24.3,24.5,Nam,Y - dược,Đại học,Tư thục,https://vanlanguni.edu.vn,,Yes
187,Đại học Văn Lang,Dược học,7720201,"A00,B00",23.5,23.8,24,Nam,Y - dược,Đại học,Tư thục,https://vanlanguni.edu.vn,,Yes
188,Đại học HUTECH,Dược học,7720201,"A00,B00",23,23.3,23.5,Nam,Y - dược,Đại học,Tư thục,https://hutech.edu.vn,,Yes
189,Học viện Tài chính,Kế toán,7340301,"A00,A01,D01",25.5,25.8,26,Bắc,Kế toán - Kiểm toán,Đại học,Công lập,https://hvtc.edu.vn,,Yes
190,Học viện Tài chính,Tài chính - Ngân hàng,7340201,"A00,A01,D01",25.3,25.6,25.8,Bắc,Tài chính - Ngân hàng - Bảo hiểm,Đại học,Công lập,https://hvtc.edu.vn,,Yes
191,Học viện Ngân hàng,Ngân hàng,7340201,"A00,A01,D01",24.8,25.1,25.3,Bắc,Tài chính - Ngân hàng - Bảo hiểm,Đại học,Công lập,https://hvnh.edu.vn,,Yes
192,Học viện Ngân hàng,Kế toán,7340301,"A00,A01,D01",24.5,24.8,25,Bắc,Kế toán - Kiểm toán,Đại học,Công lập,https://hvnh.edu.vn,,Yes
193,Đại học Tài chính - Marketing,Tài chính - Ngân hàng,7340201,"A00,A01,D01",24.5,24.8,25,Nam,Tài chính - Ngân hàng - Bảo hiểm,Đại học,Công lập,https://ufm.edu.vn,,Yes
194,Đại học Tài chính - Marketing,Kế toán,7340301,"A00,A01,D01",24.3,24.6,24.8,Nam,Kế toán - Kiểm toán,Đại học,Công lập,https://ufm.edu.vn,,Yes
195,Đại học Ngân hàng TP.HCM,Ngân hàng,7340201,"A00,A01,D01",24,24.3,24.5,Nam,Tài chính - Ngân hàng - Bảo hiểm,Đại học,Công lập,https://buh.edu.vn,,Yes
196,Đại học Kinh tế Đà Nẵng,Tài chính - Ngân hàng,7340201,"A00,A01,D01",23.5,23.8,24,Miền Trung,Tài chính - Ngân hàng - Bảo hiểm,Đại học,Công lập,https://due.edu.vn,,Yes
197,Đại học Huế - Kinh tế,Tài chính - Ngân hàng,7340201,"A00,A01,D01",22.5,22.8,23,Miền Trung,Tài chính - Ngân hàng - Bảo hiểm,Đại học,Công lập,https://hueuni.edu.vn,,Yes
198,Đại học Quy Nhơn,Tài chính,7340201,"A00,A01,D01",20.5,20.8,21,Miền Trung,Tài chính - Ngân hàng - Bảo hiểm,Đại học,Công lập,https://qnu.edu.vn,,Yes
199,Đại học Vinh,Kế toán,7340301,"A00,A01,D01",21.5,21.8,22,Bắc,Kế toán - Kiểm toán,Đại học,Công lập,https://vinhuni.edu.vn,,Yes
200,Đại học Cần Thơ,Kế toán,7340301,"A00,A01,D01",22,22.3,22.5,Nam,Kế toán - Kiểm toán,Đại học,Công lập,https://ctu.edu.vn,,Yes
201,Đại học Văn hóa Hà Nội,Quản trị dịch vụ du lịch và lữ hành,7810103,"C00,D01",22.5,22.8,23,Bắc,Du lịch - Khách sạn,Đại học,Công lập,https://huc.edu.vn,,Yes
202,Đại học Văn hóa Hà Nội,Quản trị khách sạn,7810201,"C00,D01",22,22.3,22.5,Bắc,Du lịch - Khách sạn,Đại học,Công lập,https://huc.edu.vn,,Yes
203,Đại học Khoa học Xã hội và Nhân văn TP.HCM,Quản trị dịch vụ du lịch và lữ hành,7810103,"C00,D01",22,22.3,22.5,Nam,Du lịch - Khách sạn,Đại học,Công lập,https://hcmussh.edu.vn,,Yes
204,Đại học Kinh tế TP.HCM,Quản trị khách sạn,7810201,"A01,D01",23,23.3,23.5,Nam,Du lịch - Khách sạn,Đại học,Công lập,https://ueh.edu.vn,,Yes
205,Đại học Huế,Quản trị dịch vụ du lịch và lữ hành,7810103,"C00,D01",21,21.3,21.5,Miền Trung,Du lịch - Khách sạn,Đại học,Công lập,https://hueuni.edu.vn,,Yes
206,Đại học Đà Nẵng,Quản trị khách sạn,7810201,"A01,D01",21.5,21.8,22,Miền Trung,Du lịch - Khách sạn,Đại học,Công lập,https://udn.vn,,Yes
207,Đại học Cần Thơ,Quản trị dịch vụ du lịch và lữ hành,7810103,"C00,D01",20.5,20.8,21,Nam,Du lịch - Khách sạn,Đại học,Công lập,https://ctu.edu.vn,,Yes
208,Đại học Hoa Sen,Quản trị khách sạn,7810201,"A01,D01",20,20.3,20.5,Nam,Du lịch - Khách sạn,Đại học,Tư thục,https://hoasen.edu.vn,,Yes
209,Đại học Văn Lang,Quản trị dịch vụ du lịch và lữ hành,7810103,"C00,D01",20.5,20.8,21,Nam,Du lịch - Khách sạn,Đại học,Tư thục,https://vanlanguni.edu.vn,,Yes
210,Đại học Bách Khoa Hà Nội,Cơ khí,7520103,"A00,A01",24,24.3,24.5,Bắc,Ô tô - Cơ khí - Chế tạo,Đại học,Công lập,https://hust.edu.vn,,Yes
211,Đại học Bách Khoa Hà Nội,Kỹ thuật ô tô,7520130,"A00,A01",24.5,24.8,25,Bắc,Ô tô - Cơ khí - Chế tạo,Đại học,Công lập,https://hust.edu.vn,,Yes
212,Đại học Bách Khoa TP.HCM,Cơ khí,7520103,"A00,A01",23.5,23.8,24,Nam,Ô tô - Cơ khí - Chế tạo,Đại học,Công lập,https://hcmut.edu.vn,,Yes
213,Đại học Bách Khoa TP.HCM,Kỹ thuật ô tô,7520130,"A00,A01",24,24.3,24.5,Nam,Ô tô - Cơ khí - Chế tạo,Đại học,Công lập,https://hcmut.edu.vn,,Yes
214,Đại học Bách Khoa - ĐH Đà Nẵng,Cơ khí,7520103,"A00,A01",22,22.3,22.5,Miền Trung,Ô tô - Cơ khí - Chế tạo,Đại học,Công lập,https://dut.udn.vn,,Yes
215,Đại học Bách Khoa - ĐH Đà Nẵng,Kỹ thuật ô tô,7520130,"A00,A01",22.5,22.8,23,Miền Trung,Ô tô - Cơ khí - Chế tạo,Đại học,Công lập,https://dut.udn.vn,,Yes
216,Đại học Công nghiệp Hà Nội,Cơ khí chế tạo,7520103,"A00,A01",22.5,22.8,23,Bắc,Ô tô - Cơ khí - Chế tạo,Đại học,Công lập,https://haui.edu.vn,,Yes
217,Đại học Công nghiệp TP.HCM,Cơ khí chế tạo,7520103,"A00,A01",22,22.3,22.5,Nam,Ô tô - Cơ khí - Chế tạo,Đại học,Công lập,https://iuh.edu.vn,,Yes
218,Đại học Sư phạm Kỹ thuật TP.HCM,Cơ khí,7520103,"A00,A01",22.5,22.8,23,Nam,Ô tô - Cơ khí - Chế tạo,Đại học,Công lập,https://hcmute.edu.vn,,Yes
219,Đại học Cần Thơ,Cơ khí,7520103,"A00,A01",21,21.3,21.5,Nam,Ô tô - Cơ khí - Chế tạo,Đại học,Công lập,https://ctu.edu.vn,,Yes
220,Đại học Quy Nhơn,Cơ khí,7520103,"A00,A01",19.5,19.8,20,Miền Trung,Ô tô - Cơ khí - Chế tạo,Đại học,Công lập,https://qnu.edu.vn,,Yes
221,Đại học Bách Khoa Hà Nội,Kỹ thuật điện,7520201,"A00,A01",24.5,24.8,25,Bắc,Điện lạnh - Điện tử - Điện - Tự động hóa,Đại học,Công lập,https://hust.edu.vn,,Yes
222,Đại học Bách Khoa Hà Nội,Tự động hóa,7520216,"A00,A01",25,25.3,25.5,Bắc,Điện lạnh - Điện tử - Điện - Tự động hóa,Đại học,Công lập,https://hust.edu.vn,,Yes
223,Đại học Bách Khoa TP.HCM,Kỹ thuật điện,7520201,"A00,A01",24,24.3,24.5,Nam,Điện lạnh - Điện tử - Điện - Tự động hóa,Đại học,Công lập,https://hcmut.edu.vn,,Yes
224,Đại học Bách Khoa TP.HCM,Tự động hóa,7520216,"A00,A01",24.5,24.8,25,Nam,Điện lạnh - Điện tử - Điện - Tự động hóa,Đại học,Công lập,https://hcmut.edu.vn,,Yes
225,Đại học Bách Khoa - ĐH Đà Nẵng,Kỹ thuật điện,7520201,"A00,A01",22.5,22.8,23,Miền Trung,Điện lạnh - Điện tử - Điện - Tự động hóa,Đại học,Công lập,https://dut.udn.vn,,Yes
226,Đại học Bách Khoa - ĐH Đà Nẵng,Tự động hóa,7520216,"A00,A01",23,23.3,23.5,Miền Trung,Điện lạnh - Điện tử - Điện - Tự động hóa,Đại học,Công lập,https://dut.udn.vn,,Yes
227,Đại học Công nghiệp Hà Nội,Công nghệ kỹ thuật điện,7510301,"A00,A01",23,23.3,23.5,Bắc,Điện lạnh - Điện tử - Điện - Tự động hóa,Đại học,Công lập,https://haui.edu.vn,,Yes
228,Đại học Công nghiệp Hà Nội,Tự động hóa,7520216,"A00,A01",23.5,23.8,24,Bắc,Điện lạnh - Điện tử - Điện - Tự động hóa,Đại học,Công lập,https://haui.edu.vn,,Yes
229,Đại học Công nghiệp TP.HCM,Kỹ thuật điện,7520201,"A00,A01",22.5,22.8,23,Nam,Điện lạnh - Điện tử - Điện - Tự động hóa,Đại học,Công lập,https://iuh.edu.vn,,Yes
230,Đại học Sư phạm Kỹ thuật TP.HCM,Kỹ thuật điện,7520201,"A00,A01",22.5,22.8,23,Nam,Điện lạnh - Điện tử - Điện - Tự động hóa,Đại học,Công lập,https://hcmute.edu.vn,,Yes
231,Đại học Cần Thơ,Kỹ thuật điện,7520201,"A00,A01",21.5,21.8,22,Nam,Điện lạnh - Điện tử - Điện - Tự động hóa,Đại học,Công lập,https://ctu.edu.vn,,Yes
232,Đại học Quy Nhơn,Kỹ thuật điện,7520201,"A00,A01",20,20.3,20.5,Miền Trung,Điện lạnh - Điện tử - Điện - Tự động hóa,Đại học,Công lập,https://qnu.edu.vn,,Yes
233,Học viện Hàng không Việt Nam,Quản lý hoạt động bay,7840101,"A00,D01",23.5,23.8,24,Bắc,Hàng không - Vũ trụ - Hạt nhân,Đại học,Công lập,https://vaa.edu.vn,,Yes
234,Học viện Hàng không Việt Nam,Kỹ thuật hàng không,7520120,"A00,A01",23,23.3,23.5,Bắc,Hàng không - Vũ trụ - Hạt nhân,Đại học,Công lập,https://vaa.edu.vn,,Yes
235,Học viện Kỹ thuật Quân sự,Kỹ thuật hàng không,7520120,"A00,A01",24.5,24.8,25,Bắc,Hàng không - Vũ trụ - Hạt nhân,Đại học,Công lập,https://mta.edu.vn,,Yes
236,Đại học Bách Khoa Hà Nội,Kỹ thuật hàng không,7520120,"A00,A01",24,24.3,24.5,Bắc,Hàng không - Vũ trụ - Hạt nhân,Đại học,Công lập,https://hust.edu.vn,,Yes
237,Đại học Bách Khoa TP.HCM,Kỹ thuật hàng không,7520120,"A00,A01",23.5,23.8,24,Nam,Hàng không - Vũ trụ - Hạt nhân,Đại học,Công lập,https://hcmut.edu.vn,,Yes
238,Đại học Bách Khoa Hà Nội,Kỹ thuật vật liệu,7510302,"A00,A01",23.5,23.8,24,Bắc,Công nghệ vật liệu,Đại học,Công lập,https://hust.edu.vn,,Yes
239,Đại học Bách Khoa Hà Nội,Khoa học vật liệu,7440122,"A00,A01",23,23.3,23.5,Bắc,Công nghệ vật liệu,Đại học,Công lập,https://hust.edu.vn,,Yes
240,Đại học Bách Khoa TP.HCM,Kỹ thuật vật liệu,7510302,"A00,A01",23,23.3,23.5,Nam,Công nghệ vật liệu,Đại học,Công lập,https://hcmut.edu.vn,,Yes
241,Đại học Bách Khoa - ĐH Đà Nẵng,Kỹ thuật vật liệu,7510302,"A00,A01",21.5,21.8,22,Miền Trung,Công nghệ vật liệu,Đại học,Công lập,https://dut.udn.vn,,Yes
242,Đại học Công nghiệp Hà Nội,Kỹ thuật vật liệu,7510302,"A00,A01",22,22.3,22.5,Bắc,Công nghệ vật liệu,Đại học,Công lập,https://haui.edu.vn,,Yes
243,Đại học Khoa học Tự nhiên - ĐHQG Hà Nội,Vật liệu và công nghệ nano,7440122,"A00,A01",23.5,23.8,24,Bắc,Công nghệ vật liệu,Đại học,Công lập,https://hus.vnu.edu.vn,,Yes
244,Đại học Khoa học Tự nhiên - ĐHQG TP.HCM,Vật liệu và công nghệ nano,7440122,"A00,A01",22.5,22.8,23,Nam,Công nghệ vật liệu,Đại học,Công lập,https://hcmus.edu.vn,,Yes
245,Đại học Quy Nhơn,Khoa học vật liệu,7440122,"A00,A01",20,20.3,20.5,Miền Trung,Công nghệ vật liệu,Đại học,Công lập,https://qnu.edu.vn,,Yes
246,Đại học Nông Lâm Hà Nội,Công nghệ thực phẩm,7540101,"A00,B00",21.5,21.8,22,Bắc,Công nghệ chế biến thực phẩm,Đại học,Công lập,https://vnua.edu.vn,,Yes
247,Đại học Nông Lâm TP.HCM,Công nghệ thực phẩm,7540101,"A00,B00",21,21.3,21.5,Nam,Công nghệ chế biến thực phẩm,Đại học,Công lập,https://hcmuaf.edu.vn,,Yes
248,Đại học Công nghiệp Thực phẩm TP.HCM,Công nghệ thực phẩm,7540101,"A00,B00",22,22.3,22.5,Nam,Công nghệ chế biến thực phẩm,Đại học,Công lập,https://hufi.edu.vn,,Yes
249,Đại học Bách Khoa Hà Nội,Công nghệ thực phẩm,7540101,"A00,B00",23,23.3,23.5,Bắc,Công nghệ chế biến thực phẩm,Đại học,Công lập,https://hust.edu.vn,,Yes
250,Đại học Bách Khoa TP.HCM,Công nghệ thực phẩm,7540101,"A00,B00",22.5,22.8,23,Nam,Công nghệ chế biến thực phẩm,Đại học,Công lập,https://hcmut.edu.vn,,Yes
251,Đại học Cần Thơ,Công nghệ thực phẩm,7540101,"A00,B00",21.5,21.8,22,Nam,Công nghệ chế biến thực phẩm,Đại học,Công lập,https://ctu.edu.vn,,Yes
252,Đại học Nha Trang,Công nghệ thực phẩm,7540101,"A00,B00",20.5,20.8,21,Miền Trung,Công nghệ chế biến thực phẩm,Đại học,Công lập,https://ntu.edu.vn,,Yes
253,Đại học Quy Nhơn,Công nghệ thực phẩm,7540101,"A00,B00",19.5,19.8,20,Miền Trung,Công nghệ chế biến thực phẩm,Đại học,Công lập,https://qnu.edu.vn,,Yes
254,Đại học Nông Lâm Hà Nội,Công nghệ in,7540301,"A00,A01",20,20.3,20.5,Bắc,Công nghệ In - Giấy,Đại học,Công lập,https://vnua.edu.vn,,Yes
255,Đại học Bách Khoa Hà Nội,Công nghệ in,7540301,"A00,A01",22,22.3,22.5,Bắc,Công nghệ In - Giấy,Đại học,Công lập,https://hust.edu.vn,,Yes
256,Đại học Bách Khoa TP.HCM,Công nghệ in,7540301,"A00,A01",21.5,21.8,22,Nam,Công nghệ In - Giấy,Đại học,Công lập,https://hcmut.edu.vn,,Yes
257,Đại học Nông Lâm Hà Nội,Công nghệ sinh học,7420201,"A00,B00",22,22.3,22.5,Bắc,Công nghệ sinh - Hóa,Đại học,Công lập,https://vnua.edu.vn,,Yes
258,Đại học Nông Lâm TP.HCM,Công nghệ sinh học,7420201,"A00,B00",21.5,21.8,22,Nam,Công nghệ sinh - Hóa,Đại học,Công lập,https://hcmuaf.edu.vn,,Yes
259,Đại học Khoa học Tự nhiên - ĐHQG Hà Nội,Công nghệ sinh học,7420201,"A00,B00",24,24.3,24.5,Bắc,Công nghệ sinh - Hóa,Đại học,Công lập,https://hus.vnu.edu.vn,,Yes
260,Đại học Khoa học Tự nhiên - ĐHQG TP.HCM,Công nghệ sinh học,7420201,"A00,B00",23.5,23.8,24,Nam,Công nghệ sinh - Hóa,Đại học,Công lập,https://hcmus.edu.vn,,Yes
261,Đại học Bách Khoa Hà Nội,Kỹ thuật hóa học,7510301,"A00,A01",23.5,23.8,24,Bắc,Công nghệ sinh - Hóa,Đại học,Công lập,https://hust.edu.vn,,Yes
262,Đại học Bách Khoa TP.HCM,Kỹ thuật hóa học,7510301,"A00,A01",23,23.3,23.5,Nam,Công nghệ sinh - Hóa,Đại học,Công lập,https://hcmut.edu.vn,,Yes
263,Đại học Bách Khoa - ĐH Đà Nẵng,Công nghệ sinh học,7420201,"A00,B00",21,21.3,21.5,Miền Trung,Công nghệ sinh - Hóa,Đại học,Công lập,https://dut.udn.vn,,Yes
264,Đại học Huế,Công nghệ sinh học,7420201,"A00,B00",20.5,20.8,21,Miền Trung,Công nghệ sinh - Hóa,Đại học,Công lập,https://hueuni.edu.vn,,Yes
265,Đại học Cần Thơ,Công nghệ sinh học,7420201,"A00,B00",21,21.3,21.5,Nam,Công nghệ sinh - Hóa,Đại học,Công lập,https://ctu.edu.vn,,Yes
266,Đại học Quy Nhơn,Công nghệ sinh học,7420201,"A00,B00",19.5,19.8,20,Miền Trung,Công nghệ sinh - Hóa,Đại học,Công lập,https://qnu.edu.vn,,Yes
267,Đại học Khoa học Xã hội và Nhân văn - ĐHQG Hà Nội,Tâm lý học,7310401,"B00,C00",24,24.3,24.5,Bắc,Tâm lý,Đại học,Công lập,https://ussh.vnu.edu.vn,,Yes
268,Đại học Khoa học Xã hội và Nhân văn TP.HCM,Tâm lý học,7310401,"B00,C00",23.5,23.8,24,Nam,Tâm lý,Đại học,Công lập,https://hcmussh.edu.vn,,Yes
269,Đại học Sư phạm Hà Nội,Tâm lý học,7310401,"B00,C00",23,23.3,23.5,Bắc,Tâm lý,Đại học,Công lập,https://hnue.edu.vn,,Yes
270,Đại học Sư phạm TP.HCM,Tâm lý học,7310401,"B00,C00",22.5,22.8,23,Nam,Tâm lý,Đại học,Công lập,https://hcmue.edu.vn,,Yes
